                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87704,                0.94286,                      1,                  1.271,                0.06751,             0.00016327,             0.00016327
                      2,                0.12333,                0.97143,                      1,                  1.209,               0.034344,             0.00032991,             0.00032991
                      3,                0.07378,                0.99524,                      1,                 1.1963,              0.0011767,             0.00049648,             0.00049648
                      4,                 0.0521,                0.96667,                      1,                 1.1919,             0.00049973,             0.00049973,             0.00049973
                      5,                0.04715,                      1,                      1,                 1.1758,             0.00049951,             0.00049951,             0.00049951
                      6,                0.05211,                      1,                      1,                 1.1728,             0.00049924,             0.00049924,             0.00049924
                      7,                0.03815,                0.99524,                      1,                 1.1772,              0.0004989,              0.0004989,              0.0004989
                      8,                0.03219,                      1,                      1,                 1.1743,             0.00049851,             0.00049851,             0.00049851
                      9,                0.03236,                0.99524,                      1,                 1.1743,             0.00049805,             0.00049805,             0.00049805
                     10,                0.03771,                0.98571,                      1,                 1.1792,             0.00049753,             0.00049753,             0.00049753
                     11,                0.03133,                0.99524,                      1,                 1.1719,             0.00049695,             0.00049695,             0.00049695
                     12,                0.02924,                0.99524,                      1,                 1.1719,             0.00049631,             0.00049631,             0.00049631
                     13,                0.03266,                      1,                      1,                 1.1694,             0.00049562,             0.00049562,             0.00049562
                     14,                0.02851,                      1,                      1,                 1.1728,             0.00049486,             0.00049486,             0.00049486
                     15,                0.02526,                0.99524,                      1,                 1.1733,             0.00049404,             0.00049404,             0.00049404
                     16,                0.01443,                0.97143,                      1,                  1.187,             0.00049316,             0.00049316,             0.00049316
                     17,                0.02401,                      1,                      1,                  1.168,             0.00049222,             0.00049222,             0.00049222
                     18,                 0.0232,                      1,                      1,                 1.1675,             0.00049123,             0.00049123,             0.00049123
                     19,                0.01836,                      1,                      1,                 1.1665,             0.00049017,             0.00049017,             0.00049017
                     20,                 0.0131,                      1,                      1,                 1.1665,             0.00048906,             0.00048906,             0.00048906
                     21,                0.01515,                      1,                      1,                 1.1738,             0.00048789,             0.00048789,             0.00048789
                     22,                0.02439,                      1,                      1,                 1.1665,             0.00048666,             0.00048666,             0.00048666
                     23,                0.02011,                      1,                      1,                 1.1685,             0.00048537,             0.00048537,             0.00048537
