                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7544,                 2.6876,                   1.37,                0.85398,                0.26575,                0.56698,                0.17022,                 2.0753,                 1.3943,                 1.1493,               0.066874,             0.00016646,             0.00016646
                      2,                 1.1698,                 1.2561,                  1.106,                0.89451,                0.90258,                 0.9221,                0.40877,                 1.1555,                0.86042,                0.94107,               0.033707,             0.00033312,             0.00033312
                      3,                 1.0863,                 1.0075,                  1.045,                0.92697,                0.91319,                0.90553,                0.36635,                 1.4412,                0.94127,                0.98217,             0.00054053,             0.00049973,             0.00049973
                      4,                0.99012,                0.90486,                 1.0072,                 0.9749,                0.96257,                0.97526,                0.43572,                 1.3412,                0.90826,                0.93081,             0.00049985,             0.00049985,             0.00049985
                      5,                 0.9013,                0.81068,                0.96842,                0.98417,                0.98453,                0.99155,                0.46256,                 1.1508,                0.78936,                0.89081,             0.00049973,             0.00049973,             0.00049973
                      6,                0.83354,                0.72836,                 0.9352,                0.96215,                0.98006,                0.98369,                0.46612,                 1.1472,                0.85692,                0.89398,             0.00049958,             0.00049958,             0.00049958
                      7,                 0.7793,                0.67072,                0.91416,                0.99549,                0.98886,                0.99484,                0.55143,                0.98752,                0.68002,                0.84991,              0.0004994,              0.0004994,              0.0004994
                      8,                0.75727,                0.63795,                0.90593,                0.99036,                0.98977,                  0.993,                0.56829,                0.96428,                0.67337,                0.83979,             0.00049918,             0.00049918,             0.00049918
                      9,                0.75029,                0.62331,                 0.8994,                0.98357,                0.98888,                0.99401,                0.55817,                 1.0439,                0.68355,                0.84449,             0.00049893,             0.00049893,             0.00049893
                     10,                0.73226,                0.59734,                0.88102,                 0.9962,                0.99196,                0.99496,                0.60423,                0.81999,                0.61833,                0.81764,             0.00049864,             0.00049864,             0.00049864
                     11,                0.70982,                 0.5694,                0.87651,                0.99328,                0.99105,                0.99484,                0.68796,                0.66455,                0.54442,                0.80041,             0.00049833,             0.00049833,             0.00049833
                     12,                 0.6963,                0.55048,                0.86309,                0.99253,                0.99449,                0.99465,                0.66662,                0.74012,                0.55574,                0.79877,             0.00049798,             0.00049798,             0.00049798
                     13,                0.70448,                0.53318,                0.85928,                0.99552,                0.99358,                 0.9949,                0.68815,                0.70587,                0.52148,                0.79027,             0.00049759,             0.00049759,             0.00049759
                     14,                0.67814,                0.50954,                0.85642,                0.99696,                0.99552,                0.99495,                0.67045,                0.80457,                0.53235,                0.79532,             0.00049717,             0.00049717,             0.00049717
                     15,                0.68988,                0.50466,                0.85384,                0.99415,                0.99479,                0.99483,                0.72035,                0.67692,                0.49807,                0.78682,             0.00049672,             0.00049672,             0.00049672
                     16,                0.68576,                0.50209,                0.84731,                0.99836,                0.99415,                0.99499,                0.72007,                0.70779,                0.47519,                0.78575,             0.00049624,             0.00049624,             0.00049624
                     17,                0.68765,                0.48783,                0.85001,                0.99588,                0.99765,                  0.995,                0.72078,                0.73298,                0.49179,                0.78219,             0.00049572,             0.00049572,             0.00049572
                     18,                0.69889,                0.47725,                0.84453,                0.99383,                0.99731,                0.99499,                0.69307,                0.80053,                0.49262,                0.78457,             0.00049517,             0.00049517,             0.00049517
                     19,                0.70265,                0.46741,                 0.8395,                0.99644,                0.99346,                0.99498,                0.72068,                0.79844,                 0.4876,                0.78507,             0.00049459,             0.00049459,             0.00049459
                     20,                0.73759,                0.47732,                0.84035,                      1,                0.99655,                  0.995,                0.75068,                0.68225,                0.46255,                0.77759,             0.00049398,             0.00049398,             0.00049398
                     21,                0.70074,                0.45722,                0.83352,                 0.9947,                0.99759,                0.99494,                0.76402,                0.66857,                0.44386,                0.77409,             0.00049333,             0.00049333,             0.00049333
                     22,                0.71077,                0.45818,                0.83371,                0.99622,                0.99703,                0.99493,                0.76078,                0.72116,                0.46157,                0.77628,             0.00049265,             0.00049265,             0.00049265
                     23,                0.74278,                0.45111,                0.83246,                0.99827,                0.99575,                  0.995,                0.74054,                0.78083,                0.45594,                0.77478,             0.00049194,             0.00049194,             0.00049194
                     24,                0.71642,                0.44342,                0.82673,                0.99885,                0.99759,                0.99498,                0.77359,                0.66473,                0.43193,                0.76853,             0.00049119,             0.00049119,             0.00049119
                     25,                0.71632,                0.43153,                0.82685,                0.99731,                0.99828,                  0.995,                0.77829,                0.65882,                0.41764,                0.76475,             0.00049041,             0.00049041,             0.00049041
                     26,                0.71978,                0.42505,                0.82658,                0.99862,                0.99783,                  0.995,                0.79793,                 0.6229,                0.40861,                0.76815,              0.0004896,              0.0004896,              0.0004896
                     27,                0.70699,                0.42094,                0.82066,                0.99897,                 0.9975,                  0.995,                0.80017,                0.61884,                0.38827,                0.76384,             0.00048876,             0.00048876,             0.00048876
                     28,                0.74662,                 0.4255,                0.82484,                0.99965,                0.99704,                  0.995,                0.78929,                0.65307,                0.41009,                0.76768,             0.00048789,             0.00048789,             0.00048789
