                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6975,                 2.5528,                 2.7719,                0.34137,                0.24007,                0.30369,                0.17238,                 1.1836,                 2.5202,                 2.2867,                0.06686,             0.00016653,             0.00016653
                      2,                0.94592,                 1.6914,                   2.02,                0.49649,                0.41196,                0.44478,                0.31051,                0.74934,                 1.7644,                 1.7631,               0.033693,             0.00033318,             0.00033318
                      3,                0.77378,                 1.3629,                 1.7574,                0.68931,                0.49995,                0.61849,                0.43031,                0.67579,                 1.1936,                 1.6544,             0.00052667,             0.00049974,             0.00049974
                      4,                0.70747,                 1.1454,                 1.6278,                0.71625,                0.56666,                0.66072,                0.47346,                0.64558,                 1.0848,                 1.5353,             0.00049973,             0.00049973,             0.00049973
                      5,                0.67463,                 1.0041,                 1.5279,                0.72846,                0.58095,                0.68883,                0.53513,                0.53492,                0.90437,                  1.376,             0.00049951,             0.00049951,             0.00049951
                      6,                0.65173,                0.91465,                 1.4707,                0.69695,                0.68949,                0.73675,                0.57528,                0.53753,                0.79994,                 1.3262,             0.00049924,             0.00049924,             0.00049924
                      7,                0.64615,                0.84869,                 1.4092,                 0.7886,                0.66245,                0.74796,                0.59353,                0.52297,                0.71244,                 1.2891,              0.0004989,              0.0004989,              0.0004989
                      8,                0.64197,                0.78897,                  1.382,                0.78136,                 0.7248,                0.77866,                0.60505,                 0.5531,                0.66665,                 1.3017,             0.00049851,             0.00049851,             0.00049851
                      9,                0.64484,                0.75379,                  1.351,                 0.7907,                0.73841,                0.79135,                0.63115,                0.53392,                0.60795,                 1.2351,             0.00049805,             0.00049805,             0.00049805
                     10,                0.64846,                0.71932,                 1.3295,                0.79036,                0.75227,                0.80097,                0.64009,                0.50625,                 0.5935,                 1.2168,             0.00049753,             0.00049753,             0.00049753
                     11,                0.65666,                0.68913,                 1.3058,                0.79648,                0.77385,                0.81403,                0.66538,                0.51299,                0.53474,                 1.1705,             0.00049695,             0.00049695,             0.00049695
                     12,                0.65804,                0.66734,                 1.2854,                0.94498,                0.79989,                0.87602,                0.72001,                0.50989,                0.51484,                 1.1631,             0.00049631,             0.00049631,             0.00049631
                     13,                0.67909,                0.64558,                 1.2763,                0.92393,                0.88665,                0.93685,                0.77108,                0.48574,                0.48879,                  1.137,             0.00049562,             0.00049562,             0.00049562
                     14,                0.67988,                0.62278,                  1.255,                0.94818,                0.89607,                0.93575,                0.77097,                0.53384,                0.48154,                 1.1376,             0.00049486,             0.00049486,             0.00049486
                     15,                0.68914,                0.60994,                 1.2468,                0.90781,                0.86954,                0.91227,                0.75556,                0.50289,                0.46316,                 1.1175,             0.00049404,             0.00049404,             0.00049404
                     16,                0.69555,                0.59626,                 1.2348,                0.88891,                0.87869,                0.91922,                0.77135,                0.52036,                0.45257,                 1.1067,             0.00049316,             0.00049316,             0.00049316
                     17,                0.69341,                0.57722,                  1.221,                 0.8524,                0.94901,                0.93976,                0.78622,                0.53093,                0.43963,                  1.107,             0.00049222,             0.00049222,             0.00049222
                     18,                0.70154,                0.56857,                 1.2147,                0.92803,                0.88644,                0.92801,                 0.7766,                0.51681,                0.42826,                 1.0908,             0.00049123,             0.00049123,             0.00049123
                     19,                0.70628,                0.55294,                 1.2043,                0.81984,                0.79744,                 0.8308,                 0.7046,                 0.5424,                0.42842,                 1.0785,             0.00049017,             0.00049017,             0.00049017
                     20,                0.71016,                0.54405,                 1.1957,                0.89693,                0.88031,                0.93276,                0.78808,                0.52683,                0.40539,                 1.0706,             0.00048906,             0.00048906,             0.00048906
                     21,                0.71363,                0.53604,                 1.1901,                0.89877,                0.89599,                 0.9155,                0.79301,                0.51468,                0.39647,                 1.0565,             0.00048789,             0.00048789,             0.00048789
                     22,                0.70722,                 0.5242,                 1.1803,                0.93227,                0.88126,                0.93727,                0.80001,                0.51449,                0.39018,                 1.0501,             0.00048666,             0.00048666,             0.00048666
