                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.592,                 3.5216,                 2.4093,                 2.5146,                0.60924,                0.31845,                 0.4734,                0.30275,                0.56332,                0.29234,                0.42746,                0.22384,                 1.1386,                 3.5418,                 2.4801,                 2.0091,                0.06686,             0.00016653,             0.00016653
                      2,                 0.8192,                 2.7226,                 1.4702,                 1.7542,                0.68206,                0.50402,                0.62542,                0.43831,                0.64683,                0.47127,                0.58688,                0.37491,                0.68357,                  2.178,                 1.1859,                 1.5311,               0.033693,             0.00033318,             0.00033318
                      3,                0.66845,                 2.4122,                 1.1534,                 1.5273,                0.75507,                0.57525,                0.69866,                0.51387,                0.73163,                0.55152,                0.67264,                0.45165,                0.55045,                 1.8842,                0.98097,                 1.3455,             0.00052667,             0.00049974,             0.00049974
                      4,                0.60479,                 2.1991,                0.95748,                 1.4008,                0.70845,                0.63285,                0.70004,                0.50939,                0.68117,                0.61161,                0.66958,                0.45596,                 0.5001,                 1.7078,                0.85325,                 1.2516,             0.00049973,             0.00049973,             0.00049973
                      5,                0.58749,                 2.0911,                0.85966,                 1.3369,                0.72326,                0.71102,                0.76162,                0.59963,                0.69306,                0.67549,                0.72388,                0.51606,                0.47022,                 1.6137,                0.70867,                 1.1728,             0.00049951,             0.00049951,             0.00049951
                      6,                0.57298,                  1.991,                0.79008,                 1.2938,                0.76961,                0.75362,                0.79634,                0.60354,                0.73589,                0.71824,                0.76093,                0.53772,                0.51354,                 1.6116,                0.66366,                 1.1762,             0.00049924,             0.00049924,             0.00049924
                      7,                0.58179,                  1.942,                0.74014,                 1.2574,                0.77882,                0.74304,                 0.7956,                0.62972,                0.76044,                0.71923,                0.77235,                0.54796,                0.53078,                 1.5136,                0.62547,                 1.1419,              0.0004989,              0.0004989,              0.0004989
                      8,                0.57893,                  1.881,                0.69495,                 1.2308,                0.77716,                0.75401,                0.79602,                0.63868,                 0.7715,                0.73236,                0.77974,                0.55273,                0.47998,                 1.4637,                 0.5908,                 1.1029,             0.00049851,             0.00049851,             0.00049851
                      9,                0.59027,                 1.8495,                0.67331,                 1.2067,                0.79016,                0.77211,                0.81028,                0.65574,                0.77732,                0.75604,                0.79627,                0.57263,                0.50587,                 1.4749,                0.56353,                 1.0786,             0.00049805,             0.00049805,             0.00049805
                     10,                0.59849,                 1.7975,                0.64686,                  1.191,                0.89507,                 0.8169,                0.89413,                0.69689,                0.87813,                0.79874,                0.87903,                0.63364,                0.53879,                  1.417,                0.52906,                 1.0806,             0.00049753,             0.00049753,             0.00049753
                     11,                0.60886,                   1.78,                0.62687,                  1.177,                0.82711,                0.87589,                0.90362,                0.73924,                0.81005,                0.85753,                0.88844,                0.65305,                0.51929,                 1.4049,                0.50214,                 1.0579,             0.00049695,             0.00049695,             0.00049695
                     12,                0.62059,                 1.7567,                0.60554,                 1.1633,                 0.9332,                0.87958,                0.93298,                0.74442,                0.92011,                0.86636,                0.92164,                0.66081,                0.51802,                 1.3766,                0.48837,                 1.0541,             0.00049631,             0.00049631,             0.00049631
                     13,                0.62864,                 1.7196,                0.59372,                 1.1509,                0.90357,                0.95627,                0.96305,                0.79194,                 0.8907,                 0.9428,                0.95191,                0.70118,                0.50839,                 1.3422,                0.47493,                 1.0304,             0.00049562,             0.00049562,             0.00049562
                     14,                0.63499,                 1.7007,                0.57088,                 1.1355,                0.94466,                 0.9008,                0.94942,                0.79544,                0.93299,                0.88922,                0.93998,                0.69815,                0.52403,                 1.3149,                0.46049,                 1.0372,             0.00049486,             0.00049486,             0.00049486
                     15,                0.64477,                 1.6764,                0.56216,                 1.1278,                0.95139,                0.94958,                0.97334,                0.80533,                0.94127,                 0.9396,                0.96456,                0.71446,                0.50933,                 1.2917,                0.44354,                 1.0031,             0.00049404,             0.00049404,             0.00049404
                     16,                0.64953,                 1.6661,                0.54803,                 1.1158,                0.96837,                0.89353,                0.94537,                 0.7748,                0.96054,                0.88604,                0.93851,                0.68682,                0.51332,                 1.2826,                0.43839,                 1.0011,             0.00049316,             0.00049316,             0.00049316
                     17,                0.66687,                 1.6425,                0.54001,                 1.1136,                0.96694,                0.91182,                0.95733,                0.80831,                 0.9594,                0.89604,                0.94936,                0.71721,                0.52423,                   1.25,                0.42346,                0.99947,             0.00049222,             0.00049222,             0.00049222
