                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.10732,                0.09077,                0.05419,                0.24709,                  1.348,                0.99483,                 0.9971,                0.99497,                0.91115,                0.99483,                 0.9971,                0.99497,                0.99261,                0.11814,                0.12505,                0.06272,                0.26166,                 1.2254,               0.090059,             9.9512e-06,             9.9512e-06
                      2,                0.10991,                 0.0838,                0.05532,                0.24427,                 1.3504,                 0.9645,                0.23657,                0.60283,                0.53102,                0.97633,                0.23948,                0.61014,                0.57859,                0.91528,                  5.289,                 1.0959,                 2.3169,                 1.9905,               0.080069,             1.9951e-05,             1.9951e-05
                      3,                0.10314,                0.08133,                0.04687,                0.23518,                 1.3252,                0.99958,                      1,                  0.995,                 0.5522,                0.99958,                      1,                  0.995,                0.99271,                 1.0331,                0.10762,                 0.0144,                0.52918,                 2.7783,               0.070079,             2.9947e-05,             2.9947e-05
                      4,                0.09768,                0.07357,                0.04951,                0.22683,                 1.3101,                0.99855,                0.99855,                  0.995,                0.94846,                0.99855,                0.99855,                  0.995,                0.99372,                0.08976,                0.08452,                0.00451,                0.23077,                 1.1901,               0.060089,              3.994e-05,              3.994e-05
                      5,                0.10029,                 0.0671,                0.04359,                0.22425,                 1.3123,                0.99835,                0.99855,                  0.995,                0.86641,                0.99835,                0.99855,                  0.995,                0.99372,                0.26355,                0.10397,                0.00281,                0.29714,                 1.3844,               0.050099,             4.9926e-05,             4.9926e-05
                      6,                0.09176,                0.05752,                  0.046,                0.21482,                  1.295,                      1,                      1,                  0.995,                0.94925,                      1,                      1,                  0.995,                0.99406,                0.08141,                0.08369,                0.00664,                0.21706,                 1.1712,               0.040109,             5.9903e-05,             5.9903e-05
                      7,                0.09369,                0.06012,                0.04343,                0.21234,                 1.2881,                      1,                      1,                  0.995,                0.87835,                      1,                      1,                  0.995,                0.99381,                0.17057,                0.06771,                0.00016,                0.25245,                  1.311,               0.030119,              6.987e-05,              6.987e-05
                      8,                0.08795,                0.05608,                0.03588,                0.20462,                 1.2714,                0.99999,                      1,                  0.995,                0.78792,                0.99999,                      1,                  0.995,                0.99441,                0.37044,                0.06378,                0.00069,                0.31728,                 1.5384,               0.020129,             7.9825e-05,             7.9825e-05
                      9,                0.08744,                 0.0506,                0.03615,                0.20352,                 1.2634,                0.99855,                      1,                  0.995,                0.95123,                0.99855,                      1,                  0.995,                0.99475,                0.09045,                0.05716,                0.00064,                0.20433,                 1.1508,               0.010139,             8.9766e-05,             8.9766e-05
                     10,                0.08277,                0.04865,                0.03779,                0.19615,                 1.2481,                      1,                      1,                  0.995,                0.96429,                      1,                      1,                  0.995,                0.99437,                0.07134,                0.05543,                0.00041,                0.19477,                 1.1363,             0.00014847,             9.9691e-05,             9.9691e-05
                     11,                0.08032,                 0.0469,                0.03777,                 0.1933,                 1.2427,                0.99944,                      1,                  0.995,                0.91027,                0.99944,                      1,                  0.995,                0.99449,                0.13584,                0.05056,                0.00157,                0.23495,                 1.1971,             9.9679e-05,             9.9679e-05,             9.9679e-05
                     12,                0.08388,                0.04661,                0.03184,                0.19374,                 1.2443,                0.99855,                      1,                  0.995,                0.92546,                0.99855,                      1,                  0.995,                0.99406,                0.11685,                0.05385,                0.00032,                0.20945,                 1.1816,             9.9611e-05,             9.9611e-05,             9.9611e-05
                     13,                0.08218,                0.04571,                0.03201,                0.19305,                 1.2333,                0.99839,                      1,                0.99486,                0.94851,                0.99839,                      1,                0.99486,                0.99432,                0.09063,                0.05138,                0.00172,                0.19717,                 1.1555,             9.9538e-05,             9.9538e-05,             9.9538e-05
                     14,                0.08496,                0.04702,                0.03748,                0.19327,                 1.2369,                0.99943,                      1,                  0.995,                0.95358,                0.99943,                      1,                  0.995,                0.99463,                0.08718,                0.05014,                0.00038,                 0.1986,                  1.156,             9.9458e-05,             9.9458e-05,             9.9458e-05
                     15,                0.07959,                0.04425,                0.03898,                0.18938,                 1.2356,                      1,                      1,                  0.995,                0.91476,                      1,                      1,                  0.995,                0.99457,                0.13418,                0.05108,                0.00018,                0.21926,                 1.1827,             9.9371e-05,             9.9371e-05,             9.9371e-05
                     16,                0.08265,                0.04374,                0.04013,                0.18952,                 1.2356,                0.99953,                      1,                  0.995,                0.93146,                0.99953,                      1,                  0.995,                0.99445,                0.11701,                0.05151,                0.00084,                0.21682,                 1.1627,             9.9278e-05,             9.9278e-05,             9.9278e-05
                     17,                0.08966,                0.04641,                0.03544,                0.19338,                 1.2366,                0.99986,                      1,                  0.995,                0.94526,                0.99986,                      1,                  0.995,                0.99469,                0.09966,                0.05234,                0.00038,                0.20149,                 1.1555,             9.9179e-05,             9.9179e-05,             9.9179e-05
                     18,                0.08551,                0.04264,                 0.0325,                0.18848,                 1.2327,                0.99982,                      1,                  0.995,                0.95162,                0.99982,                      1,                  0.995,                0.99444,                0.09381,                0.04967,                0.00176,                0.19751,                 1.1501,             9.9074e-05,             9.9074e-05,             9.9074e-05
                     19,                0.09215,                0.04648,                0.03642,                0.19357,                 1.2378,                      1,                      1,                  0.995,                0.93805,                      1,                      1,                  0.995,                0.99442,                 0.1214,                0.04874,                0.00041,                0.21343,                 1.1749,             9.8962e-05,             9.8962e-05,             9.8962e-05
                     20,                0.09468,                0.04497,                0.04112,                0.19096,                 1.2419,                0.99982,                      1,                  0.995,                0.95501,                0.99982,                      1,                  0.995,                0.99459,                0.09425,                0.05044,                0.00049,                0.20179,                 1.1424,             9.8844e-05,             9.8844e-05,             9.8844e-05
                     21,                0.09437,                0.04924,                 0.0415,                0.18979,                 1.2383,                0.99903,                      1,                  0.995,                0.94292,                0.99903,                      1,                  0.995,                0.99452,                0.10773,                0.05039,                0.00012,                0.20285,                 1.1485,              9.872e-05,              9.872e-05,              9.872e-05
                     22,                0.09488,                0.04341,                0.03758,                0.18996,                 1.2357,                0.99855,                      1,                  0.995,                0.91048,                0.99855,                      1,                  0.995,                0.99443,                0.16749,                0.05155,                 0.0006,                0.22555,                 1.1928,             9.8589e-05,             9.8589e-05,             9.8589e-05
                     23,                0.10228,                0.04581,                0.04421,                0.19384,                 1.2451,                0.99855,                      1,                  0.995,                0.93728,                0.99855,                      1,                  0.995,                0.99434,                0.13257,                0.04857,                0.00022,                 0.2077,                 1.1689,             9.8452e-05,             9.8452e-05,             9.8452e-05
                     24,                0.09919,                0.04313,                0.04103,                0.19075,                 1.2455,                0.99986,                      1,                  0.995,                 0.9553,                0.99986,                      1,                  0.995,                0.99442,                0.10055,                0.04719,                0.00061,                0.19035,                 1.1364,             9.8309e-05,             9.8309e-05,             9.8309e-05
