                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0804,                 3.2834,                 2.8813,                      0,                      0,                      0,                      0,                  2.469,                 3.0104,                 3.9289,                0.06709,             0.00016537,             0.00016537
                      2,                0.55545,                 1.8945,                 2.2156,                0.72784,                0.76786,                0.82556,                0.65207,                0.29919,                 2.1454,                 1.7412,               0.033924,             0.00033201,             0.00033201
                      3,                 0.3664,                 1.3351,                 1.9464,                0.76498,                0.61404,                0.68235,                0.50775,                0.37367,                 1.0633,                 1.6691,             0.00075689,             0.00049849,             0.00049849
                      4,                0.27944,                0.98612,                 1.7936,                0.90885,                0.92611,                0.96013,                 0.6933,                0.42277,                0.81926,                 1.7495,             0.00049951,             0.00049951,             0.00049951
                      5,                 0.2272,                0.80813,                 1.6777,                0.94655,                0.92345,                0.96628,                0.79055,                 0.2447,                 0.7609,                 1.5413,             0.00049913,             0.00049913,             0.00049913
                      6,                0.18789,                0.66402,                 1.5572,                0.95854,                0.98065,                0.98201,                0.83259,                 0.1794,                0.60183,                 1.3389,             0.00049864,             0.00049864,             0.00049864
                      7,                0.17062,                 0.5974,                 1.5149,                0.96872,                0.94143,                0.98367,                0.79728,                 0.2162,                0.66181,                 1.3759,             0.00049805,             0.00049805,             0.00049805
                      8,                0.15095,                0.55417,                 1.4534,                0.96958,                0.99163,                 0.9943,                0.80921,                0.18167,                0.52967,                  1.286,             0.00049734,             0.00049734,             0.00049734
                      9,                0.13291,                0.50941,                  1.393,                0.97708,                0.98501,                0.99349,                0.76263,                0.28441,                0.62267,                  1.548,             0.00049653,             0.00049653,             0.00049653
                     10,                0.12185,                0.46729,                 1.3577,                0.98842,                0.99895,                  0.995,                0.86419,                0.12318,                 0.4601,                 1.1591,             0.00049562,             0.00049562,             0.00049562
                     11,                0.11275,                0.43369,                 1.3254,                0.99198,                0.99882,                  0.995,                0.87164,                0.14071,                0.48163,                 1.3103,             0.00049459,             0.00049459,             0.00049459
                     12,                0.11003,                0.42641,                 1.3112,                0.97619,                      1,                  0.995,                0.83167,                0.18992,                0.45877,                 1.2017,             0.00049346,             0.00049346,             0.00049346
                     13,                0.10817,                0.40542,                  1.301,                0.98036,                      1,                  0.995,                0.83661,                0.19855,                 0.3993,                 1.2188,             0.00049222,             0.00049222,             0.00049222
                     14,                0.10173,                0.37485,                 1.2716,                0.99666,                      1,                  0.995,                0.88017,                0.11482,                0.38078,                 1.1433,             0.00049088,             0.00049088,             0.00049088
                     15,                 0.0953,                0.36765,                 1.2457,                0.98058,                      1,                  0.995,                0.88594,                0.11555,                0.38569,                 1.1421,             0.00048944,             0.00048944,             0.00048944
                     16,                0.09157,                0.36251,                 1.2187,                0.98389,                      1,                  0.995,                0.88222,                0.09751,                0.46457,                  1.093,             0.00048789,             0.00048789,             0.00048789
                     17,                0.08856,                0.34794,                  1.212,                0.99084,                0.99037,                  0.995,                0.87883,                0.14559,                0.40255,                 1.1328,             0.00048623,             0.00048623,             0.00048623
                     18,                0.08431,                0.33012,                 1.2025,                0.99856,                      1,                  0.995,                0.82731,                0.22451,                 0.3781,                 1.2418,             0.00048448,             0.00048448,             0.00048448
                     19,                0.08268,                0.33118,                 1.1812,                0.99737,                      1,                  0.995,                 0.9108,                0.09851,                0.36867,                 1.0595,             0.00048262,             0.00048262,             0.00048262
                     20,                0.08204,                0.31657,                 1.1768,                0.99936,                0.99713,                0.99422,                0.91828,                0.09041,                0.33976,                 1.1136,             0.00048066,             0.00048066,             0.00048066
                     21,                0.07772,                 0.3096,                 1.1697,                      1,                      1,                  0.995,                0.86966,                0.15591,                0.31709,                 1.1746,              0.0004786,              0.0004786,              0.0004786
                     22,                  0.078,                 0.3116,                 1.1678,                0.99425,                      1,                  0.995,                 0.8973,                 0.0993,                  0.336,                 1.0515,             0.00047644,             0.00047644,             0.00047644
                     23,                0.07896,                0.29478,                 1.1658,                      1,                0.99997,                  0.995,                0.94018,                0.06261,                0.31258,                 1.0084,             0.00047419,             0.00047419,             0.00047419
                     24,                0.07591,                0.28575,                 1.1467,                0.99838,                      1,                  0.995,                0.91567,                 0.0843,                 0.3473,                 1.0208,             0.00047184,             0.00047184,             0.00047184
                     25,                0.07204,                  0.287,                 1.1384,                      1,                      1,                  0.995,                0.87662,                0.15108,                0.32638,                 1.1168,             0.00046939,             0.00046939,             0.00046939
                     26,                0.07228,                0.27984,                 1.1457,                0.99275,                      1,                  0.995,                 0.8696,                 0.1448,                0.32586,                 1.1455,             0.00046684,             0.00046684,             0.00046684
                     27,                0.07309,                0.27871,                 1.1426,                0.99813,                      1,                  0.995,                 0.8819,                 0.1301,                0.31074,                 1.1376,              0.0004642,              0.0004642,              0.0004642
                     28,                0.07321,                0.27293,                 1.1341,                      1,                      1,                  0.995,                0.85881,                 0.1775,                0.35192,                 1.1874,             0.00046147,             0.00046147,             0.00046147
                     29,                0.08275,                0.27701,                 1.1565,                      1,                      1,                  0.995,                0.90401,                0.11407,                0.29463,                 1.0391,             0.00045865,             0.00045865,             0.00045865
                     30,                0.07125,                0.27193,                 1.1166,                      1,                      1,                  0.995,                0.90446,                0.12636,                0.28608,                 1.0388,             0.00045573,             0.00045573,             0.00045573
                     31,                0.07098,                0.26233,                 1.1083,                      1,                      1,                  0.995,                 0.9094,                0.10524,                0.27709,                0.99615,             0.00045273,             0.00045273,             0.00045273
                     32,                0.06739,                0.24987,                  1.102,                0.99926,                0.99753,                  0.995,                0.89055,                0.13321,                0.27397,                 1.0718,             0.00044964,             0.00044964,             0.00044964
                     33,                0.06853,                0.25617,                 1.0999,                      1,                      1,                  0.995,                0.86763,                0.16394,                0.27308,                 1.1077,             0.00044646,             0.00044646,             0.00044646
                     34,                0.06918,                0.25131,                  1.104,                0.99139,                0.99824,                  0.995,                0.92787,                0.08484,                 0.3322,                 1.0729,              0.0004432,              0.0004432,              0.0004432
                     35,                0.07166,                 0.2504,                 1.1025,                0.99861,                      1,                  0.995,                0.87633,                0.13944,                 0.2916,                 1.0577,             0.00043986,             0.00043986,             0.00043986
                     36,                0.07133,                 0.2485,                 1.0989,                0.99736,                      1,                  0.995,                0.90679,                0.11368,                0.25357,                 1.0187,             0.00043643,             0.00043643,             0.00043643
                     37,                 0.0666,                0.24599,                 1.0837,                0.99908,                      1,                  0.995,                0.90398,                0.11328,                0.27809,                0.97675,             0.00043292,             0.00043292,             0.00043292
                     38,                0.06576,                0.24034,                 1.0736,                0.99874,                      1,                  0.995,                0.89827,                0.12047,                0.25903,                0.99755,             0.00042933,             0.00042933,             0.00042933
                     39,                0.06728,                0.23745,                 1.0859,                      1,                      1,                  0.995,                0.88812,                0.15007,                0.25963,                 1.0359,             0.00042567,             0.00042567,             0.00042567
                     40,                0.07423,                0.24182,                 1.0955,                      1,                      1,                  0.995,                0.91592,                0.12084,                0.25632,                 1.0022,             0.00042193,             0.00042193,             0.00042193
                     41,                0.06762,                0.23343,                 1.0773,                      1,                      1,                  0.995,                 0.8911,                0.13027,                0.27528,                  1.039,             0.00041811,             0.00041811,             0.00041811
                     42,                0.06434,                0.23086,                 1.0681,                      1,                      1,                  0.995,                0.90646,                0.12007,                0.25714,                0.97866,             0.00041422,             0.00041422,             0.00041422
                     43,                0.06242,                0.22646,                 1.0586,                      1,                      1,                  0.995,                0.93774,                0.09001,                 0.2596,                0.96457,             0.00041026,             0.00041026,             0.00041026
                     44,                0.07148,                0.23478,                 1.0792,                      1,                      1,                  0.995,                0.91274,                0.10159,                0.26097,                0.99295,             0.00040623,             0.00040623,             0.00040623
                     45,                0.06521,                0.22298,                 1.0601,                0.99853,                      1,                  0.995,                0.91238,                0.11873,                0.25115,                0.98009,             0.00040214,             0.00040214,             0.00040214
                     46,                0.06266,                0.22144,                 1.0586,                      1,                      1,                  0.995,                0.93322,                0.08854,                0.24892,                0.94496,             0.00039798,             0.00039798,             0.00039798
                     47,                0.06527,                0.22551,                 1.0538,                      1,                      1,                  0.995,                0.94488,                0.07765,                0.26932,                0.93881,             0.00039375,             0.00039375,             0.00039375
                     48,                0.06382,                0.22166,                 1.0542,                0.99975,                      1,                  0.995,                0.89819,                0.13084,                0.25904,                 1.0052,             0.00038946,             0.00038946,             0.00038946
                     49,                0.06346,                0.21373,                 1.0552,                      1,                      1,                  0.995,                0.91943,                0.10969,                0.26024,                0.99915,             0.00038512,             0.00038512,             0.00038512
                     50,                0.06473,                0.21258,                 1.0493,                      1,                      1,                  0.995,                0.89972,                0.12482,                0.23959,                 1.0049,             0.00038071,             0.00038071,             0.00038071
                     51,                0.06852,                0.21261,                 1.0553,                      1,                      1,                  0.995,                0.92286,                0.10975,                0.24712,                0.96029,             0.00037625,             0.00037625,             0.00037625
                     52,                0.06674,                 0.2102,                  1.052,                0.99862,                 0.9978,                  0.995,                 0.8885,                0.15844,                0.27035,                 1.0221,             0.00037173,             0.00037173,             0.00037173
                     53,                0.06691,                0.21034,                   1.05,                0.99908,                      1,                  0.995,                0.92288,                0.09897,                0.25812,                0.94653,             0.00036717,             0.00036717,             0.00036717
                     54,                0.06366,                0.20392,                 1.0361,                      1,                      1,                  0.995,                0.89969,                0.14043,                0.25295,                  1.023,             0.00036255,             0.00036255,             0.00036255
                     55,                0.06469,                 0.2041,                  1.041,                      1,                      1,                  0.995,                0.91367,                0.12826,                 0.2485,                 1.0108,             0.00035788,             0.00035788,             0.00035788
                     56,                0.06489,                0.20536,                 1.0296,                0.99621,                0.99577,                  0.995,                0.89035,                0.15748,                 0.2539,                 1.0076,             0.00035317,             0.00035317,             0.00035317
                     57,                0.06691,                0.20215,                 1.0325,                      1,                      1,                  0.995,                0.94134,                0.08603,                0.23678,                0.91892,             0.00034841,             0.00034841,             0.00034841
                     58,                0.06274,                0.19771,                 1.0315,                      1,                      1,                  0.995,                0.90026,                0.12541,                0.23074,                0.96496,             0.00034361,             0.00034361,             0.00034361
                     59,                0.06401,                0.19737,                  1.031,                      1,                      1,                  0.995,                0.92913,                0.11787,                0.24853,                0.96029,             0.00033877,             0.00033877,             0.00033877
                     60,                0.06285,                0.19318,                  1.032,                0.99894,                      1,                  0.995,                0.92947,                0.10994,                0.23569,                0.94707,             0.00033389,             0.00033389,             0.00033389
                     61,                 0.0612,                0.19333,                 1.0198,                0.99937,                      1,                  0.995,                 0.9579,                0.08142,                0.21589,                0.91214,             0.00032898,             0.00032898,             0.00032898
