                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0426,                 4.0025,                 2.1046,                 2.0497,                0.74479,                0.41342,                0.59275,                0.44059,                0.67781,                0.38132,                0.54595,                 0.2865,                 1.2991,                 3.1011,                 1.4434,                 1.4909,               0.066863,             0.00016652,             0.00016652
                      2,                 1.3668,                 3.1098,                 1.4213,                   1.51,                0.80826,                0.53507,                0.68508,                0.56869,                0.75267,                0.49222,                0.63923,                0.42908,                 1.0395,                 2.3493,                 1.0322,                 1.2915,               0.033697,             0.00033312,             0.00033312
                      3,                 1.2125,                 2.7961,                 1.2013,                 1.3876,                0.87814,                0.70054,                0.82468,                0.65322,                0.81814,                0.63751,                0.74639,                0.46667,                0.90523,                 2.1493,                0.76863,                  1.211,             0.00052958,             0.00049945,             0.00049945
                      4,                 1.1118,                 2.5852,                  1.054,                 1.3051,                0.87175,                0.79978,                0.87214,                0.68077,                 0.7939,                0.76459,                0.81113,                0.50144,                0.81228,                 1.8772,                0.70127,                 1.1454,             0.00049909,             0.00049909,             0.00049909
                      5,                 1.0298,                 2.4371,                0.94444,                 1.2459,                0.91242,                0.81982,                0.89122,                0.73896,                0.87618,                0.78181,                 0.8433,                0.52491,                0.72304,                  1.768,                0.61316,                 1.0797,             0.00049839,             0.00049839,             0.00049839
                      6,                0.96615,                  2.304,                 0.8658,                 1.2048,                0.90027,                 0.8611,                0.92557,                0.76953,                0.86419,                0.80382,                0.87794,                0.54846,                0.68623,                 1.6904,                0.57478,                 1.0502,             0.00049748,             0.00049748,             0.00049748
                      7,                0.93191,                  2.239,                0.80805,                 1.1764,                0.93534,                0.87253,                0.93896,                0.80266,                 0.8832,                0.81146,                0.88195,                0.56513,                0.65848,                 1.6701,                 0.5311,                 1.0137,             0.00049638,             0.00049638,             0.00049638
                      8,                0.89447,                 2.1713,                0.76317,                 1.1469,                0.91003,                0.92483,                0.95416,                0.80348,                0.91776,                0.83871,                0.90549,                0.60489,                0.64527,                  1.518,                 0.5117,                 1.0091,             0.00049507,             0.00049507,             0.00049507
                      9,                0.86638,                 2.1102,                0.72708,                 1.1273,                0.94893,                0.90922,                0.95756,                0.82724,                0.89629,                0.85928,                0.90735,                0.59217,                0.61056,                 1.5404,                0.48859,                0.99269,             0.00049357,             0.00049357,             0.00049357
                     10,                0.83961,                 2.0542,                0.70175,                 1.1094,                0.95475,                 0.9385,                0.96623,                0.84574,                0.90985,                0.89614,                0.92208,                0.59145,                0.56919,                 1.5271,                0.45935,                0.96308,             0.00049187,             0.00049187,             0.00049187
