                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1457,                 3.1727,                 1.6645,                 1.1769,                 0.8206,                0.32036,                 0.5673,                0.46173,                0.13287,                0.07586,                0.09835,                0.02368,                0.99856,                 11.019,                 1.6814,                 1.1333,               0.066893,             0.00016637,             0.00016637
                      2,                 1.0264,                 2.7046,                 1.2044,                 1.0991,                0.86856,                0.71477,                0.81808,                0.65969,                0.81014,                0.65469,                0.75892,                0.47161,                0.80429,                 2.1908,                 0.8991,                 1.0022,               0.033727,             0.00033301,             0.00033301
                      3,                0.98252,                 2.5335,                 1.0653,                 1.0756,                 0.8464,                0.73696,                0.84191,                0.70704,                0.82029,                0.70866,                 0.8151,                0.50961,                0.74421,                 1.9158,                0.69059,                0.97031,             0.00055987,             0.00049959,             0.00049959
                      4,                0.92046,                 2.3579,                0.93412,                 1.0497,                0.87486,                0.83624,                0.89777,                0.74809,                0.85149,                0.80796,                0.87208,                0.54666,                0.69726,                 1.6333,                0.63491,                0.94701,             0.00049975,             0.00049975,             0.00049975
                      5,                0.85855,                 2.2213,                0.82918,                 1.0103,                0.91177,                0.85482,                 0.9205,                0.79803,                0.83493,                0.84237,                0.88109,                0.59381,                0.62367,                 1.5125,                0.55145,                0.91481,             0.00049956,             0.00049956,             0.00049956
                      6,                0.80507,                 2.1045,                0.75099,                0.99014,                0.93865,                0.89379,                0.94266,                0.83156,                0.89362,                 0.8512,                0.89159,                0.57192,                0.58923,                 1.5872,                0.50865,                0.89441,             0.00049931,             0.00049931,             0.00049931
                      7,                0.78255,                 2.0544,                 0.7104,                0.97441,                0.94788,                0.90107,                0.95473,                0.84296,                0.90432,                0.85899,                0.91534,                 0.5917,                0.56694,                  1.478,                0.48427,                0.88644,               0.000499,               0.000499,               0.000499
                      8,                0.75059,                 1.9903,                0.66276,                0.95732,                0.95317,                0.92005,                0.96323,                0.85994,                0.91745,                0.88321,                0.92717,                0.62385,                0.54438,                 1.4184,                0.45295,                0.87511,             0.00049864,             0.00049864,             0.00049864
                      9,                0.72894,                 1.9423,                0.62824,                0.94917,                0.94907,                0.92944,                0.96893,                0.86611,                0.90058,                0.87208,                0.91223,                0.59604,                0.50014,                 1.4823,                0.44091,                0.86671,             0.00049823,             0.00049823,             0.00049823
                     10,                0.71575,                 1.9086,                0.59618,                0.94114,                0.97054,                0.93672,                0.97926,                0.89033,                0.92628,                0.90036,                0.92548,                0.61826,                0.49029,                 1.3497,                0.41734,                 0.8595,             0.00049776,             0.00049776,             0.00049776
                     11,                0.69691,                 1.8628,                0.57476,                0.93196,                0.97344,                0.94603,                0.98001,                0.88909,                0.94187,                0.90757,                0.94417,                0.60357,                0.45769,                 1.3929,                0.38811,                0.85149,             0.00049724,             0.00049724,             0.00049724
                     12,                0.68158,                 1.8396,                0.55425,                0.92911,                0.97593,                0.94838,                0.98198,                0.89842,                0.94109,                0.92601,                0.94981,                0.64958,                0.44521,                 1.2747,                0.38161,                 0.8445,             0.00049666,             0.00049666,             0.00049666
                     13,                0.67165,                 1.8166,                0.53139,                0.91956,                0.97608,                0.95654,                0.98256,                0.90977,                0.94328,                0.92555,                0.94347,                0.62948,                 0.4296,                 1.3098,                0.36557,                0.84084,             0.00049602,             0.00049602,             0.00049602
                     14,                0.66387,                 1.7992,                0.52069,                0.91623,                0.97494,                0.96092,                0.98432,                 0.9091,                0.95351,                0.94042,                0.96019,                0.64478,                0.41014,                 1.2446,                0.35643,                0.83762,             0.00049533,             0.00049533,             0.00049533
                     15,                0.65226,                 1.7665,                0.50399,                 0.9108,                0.97879,                0.96644,                0.98652,                0.92215,                0.95389,                0.94297,                0.95985,                0.63865,                0.40262,                 1.2638,                0.35564,                0.83311,             0.00049459,             0.00049459,             0.00049459
                     16,                0.64084,                 1.7452,                0.48968,                 0.9084,                0.97715,                0.97017,                0.98797,                0.92228,                 0.9625,                0.95586,                0.97365,                0.66495,                0.40071,                 1.1877,                 0.3436,                0.83292,             0.00049379,             0.00049379,             0.00049379
                     17,                0.63416,                 1.7287,                0.48048,                0.90679,                0.98577,                0.96681,                0.98699,                0.92153,                0.97136,                0.95156,                0.97416,                0.64721,                0.39519,                 1.2346,                0.34137,                 0.8294,             0.00049294,             0.00049294,             0.00049294
                     18,                0.63006,                 1.7119,                0.46861,                0.90121,                0.98367,                 0.9689,                 0.9879,                0.92847,                0.97295,                0.95852,                0.97708,                0.64162,                0.38237,                 1.2346,                0.33737,                0.82764,             0.00049204,             0.00049204,             0.00049204
                     19,                0.62224,                 1.6957,                0.45893,                0.89913,                0.98799,                0.97192,                0.98853,                0.93271,                0.97241,                0.95542,                0.97307,                0.64531,                0.38044,                 1.2313,                0.33375,                0.82416,             0.00049108,             0.00049108,             0.00049108
                     20,                0.61932,                 1.6811,                 0.4515,                0.89781,                0.98349,                0.97601,                0.98898,                0.93284,                0.96387,                0.95668,                0.96607,                0.64282,                0.37681,                 1.2274,                 0.3225,                0.82411,             0.00049007,             0.00049007,             0.00049007
                     21,                0.60664,                 1.6666,                 0.4364,                0.89442,                0.98705,                0.97905,                0.98953,                0.93363,                0.97262,                0.96468,                 0.9767,                0.64671,                0.37258,                 1.2466,                 0.3231,                0.82252,               0.000489,               0.000489,               0.000489
                     22,                0.60075,                 1.6442,                0.43007,                0.89141,                 0.9804,                0.97998,                0.98946,                0.93493,                 0.9647,                 0.9641,                0.97528,                0.64611,                0.36331,                 1.2435,                0.32472,                0.82118,             0.00048789,             0.00048789,             0.00048789
                     23,                0.59396,                 1.6364,                0.42333,                0.88767,                0.97903,                0.97925,                0.98917,                0.93498,                0.96253,                0.96255,                0.97318,                0.64442,                0.36021,                 1.2402,                0.31933,                0.82095,             0.00048672,             0.00048672,             0.00048672
                     24,                0.59242,                 1.6159,                0.41603,                0.88901,                0.98478,                0.97814,                0.98985,                0.93866,                0.96994,                0.96351,                0.97663,                0.64628,                0.36203,                 1.2292,                0.32173,                0.82069,             0.00048549,             0.00048549,             0.00048549
                     25,                0.58246,                 1.6128,                0.40933,                0.88709,                0.98461,                0.97946,                0.98984,                0.93864,                   0.97,                0.96375,                 0.9772,                 0.6461,                 0.3639,                 1.2281,                0.32006,                0.82007,             0.00048422,             0.00048422,             0.00048422
                     26,                0.57876,                 1.6018,                 0.4048,                0.88435,                0.99023,                0.97835,                0.99064,                0.94012,                0.97306,                0.96133,                0.97566,                0.64908,                0.36142,                 1.2273,                 0.3172,                0.81848,             0.00048289,             0.00048289,             0.00048289
                     27,                0.57066,                 1.5958,                0.39537,                0.87899,                0.98915,                0.97909,                0.99081,                0.94054,                0.97593,                0.96555,                0.97891,                 0.6518,                0.35918,                 1.2257,                0.31578,                0.81764,             0.00048151,             0.00048151,             0.00048151
                     28,                0.57815,                 1.5867,                0.39968,                0.88168,                0.98792,                0.98212,                0.99074,                0.94173,                0.97542,                0.96708,                0.97844,                  0.652,                0.35502,                 1.2254,                0.31011,                0.81677,             0.00048008,             0.00048008,             0.00048008
                     29,                0.56872,                 1.5708,                0.39202,                0.88018,                0.98773,                0.98093,                0.99088,                 0.9425,                0.97671,                0.96677,                0.97939,                0.65202,                 0.3526,                  1.222,                0.30802,                0.81632,              0.0004786,              0.0004786,              0.0004786
                     30,                 0.5663,                 1.5566,                 0.3865,                0.87547,                0.98712,                0.98377,                0.99107,                0.94301,                0.97618,                0.96784,                0.97959,                0.65161,                0.35041,                 1.2208,                0.30674,                0.81582,             0.00047707,             0.00047707,             0.00047707
                     31,                0.56084,                 1.5578,                0.37896,                0.87599,                0.98861,                0.98179,                0.99109,                0.94387,                0.97612,                0.96688,                0.97877,                0.65154,                0.34756,                 1.2201,                0.30551,                0.81525,             0.00047549,             0.00047549,             0.00047549
                     32,                0.55631,                 1.5375,                0.37771,                0.87406,                0.98817,                0.98234,                0.99065,                0.94403,                0.97645,                0.96787,                 0.9788,                0.65306,                0.34643,                 1.2154,                0.30424,                0.81479,             0.00047386,             0.00047386,             0.00047386
                     33,                0.55227,                 1.5262,                0.37143,                0.87074,                0.99022,                0.98191,                 0.9908,                0.94477,                0.97725,                0.96807,                0.97922,                0.65302,                0.34457,                  1.213,                0.30402,                0.81442,             0.00047218,             0.00047218,             0.00047218
                     34,                0.55073,                 1.5144,                0.36912,                0.87094,                0.99118,                 0.9821,                0.99082,                0.94529,                0.97686,                 0.9676,                0.97872,                 0.6532,                0.34239,                 1.2101,                0.30264,                0.81392,             0.00047045,             0.00047045,             0.00047045
                     35,                0.55004,                 1.5195,                 0.3667,                 0.8693,                0.99093,                0.98221,                0.99086,                0.94623,                0.97785,                0.96892,                0.97973,                0.65344,                0.34074,                 1.2091,                0.29989,                 0.8136,             0.00046867,             0.00046867,             0.00046867
                     36,                0.54321,                 1.5076,                0.35991,                0.86782,                0.99002,                0.98277,                0.99096,                0.94695,                0.97709,                0.96821,                 0.9791,                0.65396,                0.33915,                 1.2072,                0.29832,                0.81315,             0.00046684,             0.00046684,             0.00046684
                     37,                0.53884,                 1.5029,                0.35724,                0.86559,                0.98937,                0.98259,                0.99096,                  0.948,                0.97668,                 0.9687,                0.97943,                0.65516,                0.33731,                 1.2056,                0.29782,                0.81269,             0.00046497,             0.00046497,             0.00046497
                     38,                0.53302,                   1.49,                0.35316,                0.86517,                0.98936,                0.98333,                0.99097,                0.94816,                0.97673,                0.96927,                0.97971,                0.65523,                0.33635,                 1.2044,                0.29569,                0.81241,             0.00046304,             0.00046304,             0.00046304
                     39,                0.53435,                 1.4802,                0.35211,                0.86461,                0.99039,                0.98313,                0.99109,                 0.9486,                0.97866,                0.96954,                0.97994,                0.65578,                0.33498,                 1.2037,                0.29409,                0.81218,             0.00046107,             0.00046107,             0.00046107
                     40,                 0.5236,                 1.4723,                0.34397,                0.86087,                0.98944,                0.98416,                0.99113,                0.94893,                0.97957,                0.96894,                0.97985,                0.65539,                0.33358,                 1.2023,                0.29427,                0.81186,             0.00045906,             0.00045906,             0.00045906
                     41,                0.52395,                 1.4701,                0.34385,                0.86163,                 0.9896,                0.98494,                0.99117,                 0.9498,                0.97966,                0.96828,                0.97883,                0.65538,                0.33201,                 1.2019,                0.29287,                0.81152,             0.00045699,             0.00045699,             0.00045699
                     42,                0.51954,                 1.4538,                 0.3411,                0.86152,                0.99057,                0.98491,                0.99118,                0.95044,                0.97902,                0.96937,                0.97887,                0.65665,                0.33057,                  1.201,                0.29107,                 0.8112,             0.00045489,             0.00045489,             0.00045489
                     43,                 0.5197,                  1.465,                0.34017,                0.86136,                0.99086,                 0.9848,                0.99141,                0.95062,                0.97835,                0.96908,                0.97797,                0.65684,                0.32916,                 1.1988,                0.29035,                0.81085,             0.00045273,             0.00045273,             0.00045273
                     44,                0.51773,                 1.4537,                0.33727,                0.85971,                  0.991,                0.98447,                0.99143,                0.95097,                0.97777,                0.96722,                0.97608,                0.65703,                0.32812,                  1.197,                0.28885,                0.81055,             0.00045053,             0.00045053,             0.00045053
                     45,                0.51151,                 1.4446,                0.33431,                0.85984,                0.99257,                0.98342,                0.99137,                 0.9514,                0.97606,                0.96674,                0.97471,                0.65646,                0.32676,                 1.1951,                0.28736,                0.81016,             0.00044829,             0.00044829,             0.00044829
